"Date","Police_ref","Easting","Northing","Severity","Road_cond","Visibility","Casualties","Pedestrian","Cycles","P2W","OAPs","Children","Manoeuvre","Time","Vehicles","Roadclass1","Roadnum1","Road_Type","Speed_Lim","Junct_det","Junct_ctrl","Roadclass2","Roadnum2","Cross_ctrl","Cross_fac","Weather","SpCond","Carr_haz","Day","Location","Local_Auth","ReportedAt","Parish"
20180101,18263388,519784,299454,"2. Serious","2. Wet/Damp","4. Darkness: street lights present and lit",1,0,0,0,0,0,"0. No turn","05:03",2,"6. Unclassified",0,"6. Single carriageway",30,"3. T & Stag Jct","2. Automatic traffic signal","6. Unclassified",0,"0. None","1. Zebra crossing","1. Fine without high winds",0,"0. None","2. Monday","EASTFIELD ROAD AT JN WITH PADHOLME ROAD","E06000031","1. Yes",181
20180102,18257386,519682,270658,"3. Slight","2. Wet/Damp","6. Darkness: no street lighting",2,0,0,0,0,0,"0. No turn","06:35",2,"3. A",1,"3. Dual carriageway",40,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","3. Tuesday","NEAR BRAMPTON HUT SERVICES SOUTBOUND A1 NEAR JN WITH BRAMPTON HUT","E07000011","1. Yes",26
20180103,18259484,540715,242553,"3. Slight","1. Dry","6. Darkness: no street lighting",1,0,0,0,0,0,"0. No turn","18:16",1,"4. B",1368,"6. Single carriageway",30,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","4. Fine with high winds",0,"0. None","4. Wednesday","BARLEY ROAD B1368","E07000012","1. Yes",95
20180103,18257077,546231,257858,"3. Slight","1. Dry","4. Darkness: street lights present and lit",1,0,0,0,0,0,"2. Right turn","21:45",2,"6. Unclassified",0,"6. Single carriageway",20,"6. Crossroads","2. Automatic traffic signal","6. Unclassified",0,"0. None","5. Ped. phase at traffic signal junction","1. Fine without high winds",0,"0. None","4. Wednesday","MILL ROAD AT JN WITH GWYDIR STREET","E07000008","1. Yes",0
20180103,18255977,530858,288082,"3. Slight","2. Wet/Damp","6. Darkness: no street lighting",1,0,0,0,0,0,"2. Right turn","06:30",2,"4. B",1096,"6. Single carriageway",50,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","4. Fine with high winds",0,"0. None","4. Wednesday","FORTY FOOT BANK B1096","E07000011","2. No - accident was reported 'over the counter'",184
20180104,18256662,519256,298147,"3. Slight","1. Dry","4. Darkness: street lights present and lit",1,0,0,0,0,1,"0. No turn","17:30",2,"3. A",15,"6. Single carriageway",40,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","5. Thursday","TOWN BRIDGE LONDON ROAD A15","E06000031","2. No - accident was reported 'over the counter'",181
20180104,18256998,537003,246274,"3. Slight","1. Dry","4. Darkness: street lights present and lit",1,1,0,0,0,0,"0. No turn","16:41",1,"6. Unclassified",0,"6. Single carriageway",30,"6. Crossroads","3. Stop sign","6. Unclassified",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","5. Thursday","KNEESWORTH ROAD, MELDRETH NEAR JN WITH FENNY LANE, MELDRETH","E07000012","1. Yes",158
20180104,18260850,526304,297860,"3. Slight","1. Dry","1. Daylight",1,0,0,0,0,0,"0. No turn","12:06",2,"5. C",58,"6. Single carriageway",60,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"1. Dislodged vehicle load in carriageway","5. Thursday","16 OLD KNARR FEN DROVE","E07000010","1. Yes",245
20180104,18254904,541552,261171,"1. Fatal","1. Dry","4. Darkness: street lights present and lit",2,0,0,0,1,0,"0. No turn","17:05",6,"3. A",14,"3. Dual carriageway",70,"9. Other","4. Give way or Uncontrolled","1. Motorway",11,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","5. Thursday","A14 AT JN WITH M11","E07000012","1. Yes",0
20180104,18256231,546238,257859,"3. Slight","2. Wet/Damp","4. Darkness: street lights present and lit",1,0,1,0,0,0,"0. No turn","07:30",2,"5. C",280,"6. Single carriageway",30,"6. Crossroads","2. Automatic traffic signal","6. Unclassified",0,"0. None","5. Ped. phase at traffic signal junction","2. Raining without high winds",0,"0. None","5. Thursday","MILL ROAD AT JN WITH GWYDIR STREET","E07000008","2. No - accident was reported 'over the counter'",37
20180105,18257005,540178,285386,"2. Serious","1. Dry","4. Darkness: street lights present and lit",1,0,0,1,0,0,"2. Right turn","22:30",2,"3. A",142,"6. Single carriageway",60,"3. T & Stag Jct","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","6. Friday","A142 AT JN WITH WENNY ROAD","E07000010","1. Yes",43
20180105,18257015,545200,258267,"3. Slight","2. Wet/Damp","1. Daylight",1,1,0,0,0,0,"1. Left turn","14:45",1,"5. C",295,"6. Single carriageway",30,"3. T & Stag Jct","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","6. Friday","JOHN LEWIS DOWNING STREET AT JN WITH ST ANDREW STREET","E07000008","2. No - accident was reported 'over the counter'",37
20180105,18259273,544638,259600,"3. Slight","1. Dry","4. Darkness: street lights present and lit",1,0,0,1,0,0,"2. Right turn","20:00",2,"6. Unclassified",0,"6. Single carriageway",20,"6. Crossroads","2. Automatic traffic signal","3. A",1134,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","6. Friday","ST LUKES STREET AT JN WITH VICTORIA ROAD A1134","E07000008","2. No - accident was reported 'over the counter'",37
20180105,18259870,546395,261212,"3. Slight","2. Wet/Damp","1. Daylight",1,0,1,0,0,0,"2. Right turn","09:53",2,"5. C",286,"6. Single carriageway",30,"3. T & Stag Jct","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","8. Central reservation","1. Fine without high winds",0,"0. None","6. Friday","KINGS HEDGES ROAD AT JN WITH CAMPKIN ROAD","E07000008","1. Yes",37
20180105,18259963,548708,265912,"3. Slight","1. Dry","4. Darkness: street lights present and lit",3,0,0,0,3,0,"2. Right turn","16:45",2,"3. A",10,"6. Single carriageway",50,"3. T & Stag Jct","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","5. Ped. phase at traffic signal junction","1. Fine without high winds",0,"0. None","6. Friday","CAMBRIDGE ROAD A10 AT JN WITH DENNY END ROAD","E07000012","1. Yes",136
